index,source_file,GateV,DrainI,source_line,setup_title
164,vgs-id2#1.xls,9.00039482116699,5.7225588534493e-06,165,Run6391
165,vgs-id2#1.xls,8.50016117095947,4.54363271273905e-06,166,Run6391
166,vgs-id2#1.xls,8.00024795532227,3.60611011274159e-06,167,Run6391
167,vgs-id2#1.xls,7.5002269744873,2.71920703198703e-06,168,Run6391
168,vgs-id2#1.xls,7.00057554244995,1.99818168766797e-06,169,Run6391
169,vgs-id2#1.xls,6.50037574768066,1.41183306823223e-06,170,Run6391
170,vgs-id2#1.xls,6.00052690505981,9.5623659035482e-07,171,Run6391
171,vgs-id2#1.xls,5.50023078918457,6.07588333423337e-07,172,Run6391
172,vgs-id2#1.xls,5.00009918212891,3.7966202626194e-07,173,Run6391
173,vgs-id2#1.xls,4.50045919418335,1.97585094952046e-07,174,Run6391
174,vgs-id2#1.xls,4.00036954879761,8.93702321036471e-08,175,Run6391
175,vgs-id2#1.xls,3.50037336349487,3.96832966487182e-08,176,Run6391
176,vgs-id2#1.xls,3.00015163421631,1.05865733956989e-08,177,Run6391
177,vgs-id2#1.xls,2.50023317337036,3.15035841857991e-09,178,Run6391
178,vgs-id2#1.xls,1.99993789196014,9.78116698746589e-10,179,Run6391
179,vgs-id2#1.xls,1.50005614757538,1.77913545007513e-10,180,Run6391
180,vgs-id2#1.xls,1.00009655952454,1.27517310946623e-11,181,Run6391
181,vgs-id2#1.xls,0.500047504901886,1.75182806629037e-12,182,Run6391
182,vgs-id2#1.xls,1.47865794133395e-05,1.15344019058217e-12,183,Run6391
183,vgs-id2#1.xls,-0.500000834465027,1.02411135127767e-12,184,Run6391
184,vgs-id2#1.xls,-1.00002861022949,1.0235219789767e-12,185,Run6391
185,vgs-id2#1.xls,-1.50001633167267,9.54370480213407e-13,186,Run6391
186,vgs-id2#1.xls,-1.99996972084045,8.93452358537855e-13,187,Run6391
187,vgs-id2#1.xls,-2.50007486343384,8.29907702889349e-13,188,Run6391
188,vgs-id2#1.xls,-3.00028324127197,9.16502876195657e-13,189,Run6391
189,vgs-id2#1.xls,-3.50048279762268,7.76128673048854e-13,190,Run6391
190,vgs-id2#1.xls,-4.00043535232544,8.17801555641484e-13,191,Run6391
191,vgs-id2#1.xls,-4.50049877166748,8.26253941568073e-13,192,Run6391
192,vgs-id2#1.xls,-5.00043678283691,8.31507226354417e-13,193,Run6391
193,vgs-id2#1.xls,-5.5002064704895,7.0973847458855e-13,194,Run6391
194,vgs-id2#1.xls,-6.00048398971558,6.56969704332377e-13,195,Run6391
195,vgs-id2#1.xls,-6.50065517425537,6.72106630333208e-13,196,Run6391
196,vgs-id2#1.xls,-7.00049591064453,7.07212825627745e-13,197,Run6391
197,vgs-id2#1.xls,-7.50044012069702,6.77982897687862e-13,198,Run6391
198,vgs-id2#1.xls,-8.00045013427734,6.15936717861948e-13,199,Run6391
199,vgs-id2#1.xls,-8.50033760070801,6.30231760875843e-13,200,Run6391
200,vgs-id2#1.xls,-9.000563621521,6.04116854197728e-13,201,Run6391
201,vgs-id2#1.xls,-9.50085067749023,6.28480665947062e-13,202,Run6391
202,vgs-id2#1.xls,-10.000581741333,6.06490877484711e-13,203,Run6391
203,vgs-id2#1.xls,-10.5005340576172,6.50318937155808e-13,204,Run6391
204,vgs-id2#1.xls,-11.0006742477417,6.18159278105435e-13,205,Run6391
205,vgs-id2#1.xls,-11.5006093978882,7.19975674131484e-13,206,Run6391
206,vgs-id2#1.xls,-12.0008087158203,6.06272031276195e-13,207,Run6391
207,vgs-id2#1.xls,-12.5009460449219,6.29541449352622e-13,208,Run6391
208,vgs-id2#1.xls,-13.0004768371582,6.09757361789975e-13,209,Run6391
209,vgs-id2#1.xls,-13.5004425048828,5.99116134307465e-13,210,Run6391
210,vgs-id2#1.xls,-14.0006275177002,6.78387034047656e-13,211,Run6391
211,vgs-id2#1.xls,-14.5004291534424,6.38465354804024e-13,212,Run6391
212,vgs-id2#1.xls,-15.0006341934204,5.9285253572669e-13,213,Run6391
