"index","source_file","source_line","setup_title","V1","Abs_Id"
"136","20 0 DS.csv","777","Nega Sweep(4)(1)","-13.200000000000001","4.27148E-09"
"137","20 0 DS.csv","778","Nega Sweep(4)(1)","-13","3.8626E-09"
"138","20 0 DS.csv","779","Nega Sweep(4)(1)","-12.8","3.4272099999999998E-09"
"139","20 0 DS.csv","780","Nega Sweep(4)(1)","-12.6","3.09116E-09"
"140","20 0 DS.csv","781","Nega Sweep(4)(1)","-12.4","2.77523E-09"
"141","20 0 DS.csv","782","Nega Sweep(4)(1)","-12.200000000000001","2.4951E-09"
"142","20 0 DS.csv","783","Nega Sweep(4)(1)","-12","2.24436E-09"
"143","20 0 DS.csv","784","Nega Sweep(4)(1)","-11.8","2.01236E-09"
"144","20 0 DS.csv","785","Nega Sweep(4)(1)","-11.6","1.81979E-09"
"145","20 0 DS.csv","786","Nega Sweep(4)(1)","-11.4","1.6359E-09"
"146","20 0 DS.csv","787","Nega Sweep(4)(1)","-11.200000000000001","1.46273E-09"
"147","20 0 DS.csv","788","Nega Sweep(4)(1)","-11","1.31431E-09"
"148","20 0 DS.csv","789","Nega Sweep(4)(1)","-10.8","1.18485E-09"
"149","20 0 DS.csv","790","Nega Sweep(4)(1)","-10.6","1.05829E-09"
"150","20 0 DS.csv","791","Nega Sweep(4)(1)","-10.4","9.67653E-10"
"151","20 0 DS.csv","792","Nega Sweep(4)(1)","-10.200000000000001","8.6868200000000006E-10"
"152","20 0 DS.csv","793","Nega Sweep(4)(1)","-10","7.8553000000000008E-10"
"153","20 0 DS.csv","794","Nega Sweep(4)(1)","-9.8","7.10496E-10"
"154","20 0 DS.csv","795","Nega Sweep(4)(1)","-9.6","6.4120500000000006E-10"
"155","20 0 DS.csv","796","Nega Sweep(4)(1)","-9.4","5.7388800000000006E-10"
"156","20 0 DS.csv","797","Nega Sweep(4)(1)","-9.2000000000000011","5.12428E-10"
"157","20 0 DS.csv","798","Nega Sweep(4)(1)","-9","4.5982E-10"
"158","20 0 DS.csv","799","Nega Sweep(4)(1)","-8.8","4.11078E-10"
"159","20 0 DS.csv","800","Nega Sweep(4)(1)","-8.6","3.7008900000000005E-10"
"160","20 0 DS.csv","801","Nega Sweep(4)(1)","-8.4","3.31311E-10"
"161","20 0 DS.csv","802","Nega Sweep(4)(1)","-8.2","2.9710100000000005E-10"
"162","20 0 DS.csv","803","Nega Sweep(4)(1)","-8","2.6382100000000003E-10"
"163","20 0 DS.csv","804","Nega Sweep(4)(1)","-7.8","2.3676E-10"
"164","20 0 DS.csv","805","Nega Sweep(4)(1)","-7.6000000000000005","2.1076E-10"
"165","20 0 DS.csv","806","Nega Sweep(4)(1)","-7.4","1.8856900000000002E-10"
"166","20 0 DS.csv","807","Nega Sweep(4)(1)","-7.2","1.6808500000000002E-10"
"167","20 0 DS.csv","808","Nega Sweep(4)(1)","-7","1.4914300000000001E-10"
"168","20 0 DS.csv","809","Nega Sweep(4)(1)","-6.8","1.32205E-10"
